miRNA	CellType	pvalue	OddsRatio	Total_Targets	Total_Markers	Number_of_Markers_Targeted	Markers_Targeted	FDR	FDR.bonf
hsa-miR-193b-3p	Endothelial cell	1	0	78	47	0		1	1
hsa-miR-193b-3p	Pericyte	1	0	78	59	0		1	1
hsa-miR-193b-3p	Astrocyte	0.409574543420275	1.92642063130988	78	136	1	OPHN1	1	1
hsa-miR-193b-3p	Cerebellar Astrocyte	1	0	78	169	0		1	1
hsa-miR-193b-3p	Oligodendrocyte	1	0	78	139	0		1	1
hsa-miR-193b-3p	Oligodendrocyte Precursor Cell	0.0716431903075155	4.70983487332122	78	114	2	OPHN1, SHISA9	1	1
hsa-miR-193b-3p	Cerebelllar Oligodendrocyte Precursor Cell	1	0	78	157	0		1	1
hsa-miR-193b-3p	Microglia	1	0	78	62	0		1	1
hsa-miR-138-5p	Excitatory Neuron	0.771508909846158	0.657750245043029	87	698	2	BLCAP, BCL11A	1	1
hsa-miR-138-5p	Granule cell	1	0	87	122	0		1	1
hsa-miR-138-5p	Inhibitory Neuron	1	0.921025283199476	87	504	2	BCL11A, ARHGEF3	1	1
hsa-miR-138-5p	Purkinje Cell	0.236163797110458	2.20261196417781	87	215	2	GRID1, PPM1L	1	1
hsa-miR-138-5p	Endothelial cell	0.183478556087627	5.08200447962328	87	47	1	IGF1R	1	1
hsa-miR-138-5p	Pericyte	1	0	87	59	0		1	1
hsa-miR-138-5p	Astrocyte	1	0	87	136	0		1	1
hsa-miR-138-5p	Cerebellar Astrocyte	0.518611047670833	1.38311449125654	87	169	1	ARHGAP31	1	1
hsa-miR-138-5p	Oligodendrocyte	1	0	87	139	0		1	1
hsa-miR-138-5p	Oligodendrocyte Precursor Cell	1	0	87	114	0		1	1
hsa-miR-138-5p	Cerebelllar Oligodendrocyte Precursor Cell	0.492858695746394	1.490384672846	87	157	1	IGF1R	1	1
hsa-miR-138-5p	Microglia	1	0	87	62	0		1	1
hsa-miR-519c-3p	Excitatory Neuron	0.120669057138555	1.59221931964869	262	698	14	SATB2, EPHA4, MAP1B, UBC, TMEM30A, TRIM37, KCNB1, MAPK1, BLCAP, PTEN, HIVEP2, HSPA8, COX6C, RPS27A	1	1
hsa-miR-519c-3p	Granule cell	0.413284012700919	0	262	122	0		1	1
hsa-miR-519c-3p	Inhibitory Neuron	0.545060548456047	1.23702960196997	262	504	8	ADARB2, TIMP2, ELAVL2, NR2F2, NETO2, MCC, NFIB, TMTC1	1	1
hsa-miR-519c-3p	Purkinje Cell	0.36356007037042	1.45230500350137	262	215	4	ADARB2, NFIB, PTPN4, NIN	1	1
hsa-miR-519c-3p	Endothelial cell	0.458332710266897	1.66002176696591	262	47	1	ABCG2	1	1
hsa-miR-519c-3p	Pericyte	0.536926983348991	1.31580492741095	262	59	1	PTEN	1	1
hsa-miR-519c-3p	Astrocyte	0.69656519202673	1.13908390409971	262	136	2	PSD3, NFIB	1	1
hsa-miR-519c-3p	Cerebellar Astrocyte	0.484083493217119	1.38230619076183	262	169	3	MCC, PSD3, RPS6KA5	1	1
hsa-miR-519c-3p	Oligodendrocyte	0.106678884459294	2.27857591242672	262	139	4	CERCAM, PXK, MAP7, ZDHHC20	1	1
hsa-miR-519c-3p	Oligodendrocyte Precursor Cell	0.660985009361042	1.36432806627456	262	114	2	KIF13A, ADARB2	1	1
hsa-miR-519c-3p	Cerebelllar Oligodendrocyte Precursor Cell	1	0.983722874119384	262	157	2	NFIB, BBX	1	1
hsa-miR-519c-3p	Microglia	1	0	262	62	0		1	1
hsa-miR-20b-5p	Excitatory Neuron	0.915955262702803	0.955290890146709	696	698	23	ATP2B1, PRKCB, EIF4A2, EPHA4, REEP5, SSX2IP, GNAS, UBC, SERINC1, PRKAR1A, TRIM37, MORF4L1, KCNB1, MAPK1, RORA, HSPA8, YWHAZ, PEA15, PGM2L1, SORCS2, LUZP2, ARAP2, RPS27A	1	1
hsa-miR-20b-5p	Granule cell	0.448257663269309	0.466463093385966	696	122	2	RABGAP1L, KCND3	1	1
hsa-miR-20b-5p	Inhibitory Neuron	0.901167182545294	0.91875888581843	696	504	16	NRIP3, ELAVL2, GNAS, KCND3, PGM2L1, TCF4, CIT, NETO2, MCC, PRKCB, FBXL7, LUZP2, NFIB, GPR155, RORA, AAK1	1	1
hsa-miR-20b-5p	Purkinje Cell	0.454477378275539	0.666157185927388	696	215	5	RORA, NFIB, PTPN4, IQSEC1, NIN	1	1
hsa-miR-20b-5p	Endothelial cell	0.411637878568105	0	696	47	0		1	1
hsa-miR-20b-5p	Pericyte	1	0.985187020038951	696	59	2	PARD3, RORA	1	1
hsa-miR-20b-5p	Astrocyte	1	0.850022879458141	696	136	4	FBXL7, RORA, PARD3, NFIB	1	1
hsa-miR-20b-5p	Cerebellar Astrocyte	1	0.855031451328185	696	169	5	RORA, MCC, PARD3, GABBR1, RPS6KA5	1	1
hsa-miR-20b-5p	Oligodendrocyte	0.00862456774172151	2.43553301488226	696	139	11	CERCAM, PIP4K2A, SCD, PXK, HIP1, MAP7, FMNL2, ARAP2, MYO1D, FBXL7, ZDHHC20	0.701174563370518	1
hsa-miR-20b-5p	Oligodendrocyte Precursor Cell	1	0.757855988241245	696	114	3	LUZP2, HIP1, PEAK1	1	1
hsa-miR-20b-5p	Cerebelllar Oligodendrocyte Precursor Cell	0.503467602550558	1.31348548595744	696	157	7	CADM2, TCF4, PARD3, AKT3, NFIB, BBX, UBR5	1	1
hsa-miR-20b-5p	Microglia	0.27808466302524	0	696	62	0		1	1
hsa-miR-324-5p	Excitatory Neuron	0.23852412836674	1.82921328267516	49	698	3	GNB1, PCDH11X, PCDH11Y	1	1
hsa-miR-324-5p	Granule cell	0.256671427688419	3.45498521339953	49	122	1	NEBL	1	1
hsa-miR-324-5p	Inhibitory Neuron	0.122523212455452	2.56281215267722	49	504	3	NEBL, PCDH11X, PCDH11Y	1	1
hsa-miR-324-5p	Purkinje Cell	0.407816725429572	1.94461721913054	49	215	1	CLMP	1	1
hsa-miR-324-5p	Endothelial cell	1	0	49	47	0		1	1
hsa-miR-324-5p	Pericyte	1	0	49	59	0		1	1
hsa-miR-324-5p	Astrocyte	0.281629817283965	3.09452901411586	49	136	1	NEBL	1	1
hsa-miR-324-5p	Cerebellar Astrocyte	1	0	49	169	0		1	1
hsa-miR-324-5p	Oligodendrocyte	1	0	49	139	0		1	1
hsa-miR-324-5p	Oligodendrocyte Precursor Cell	1	0	49	114	0		1	1
hsa-miR-324-5p	Cerebelllar Oligodendrocyte Precursor Cell	0.0554709597764083	5.49985635178159	49	157	2	TMCC1, PCDH11X	1	1
hsa-miR-324-5p	Microglia	1	0	49	62	0		1	1
hsa-miR-216a-5p	Excitatory Neuron	0.257813811293968	1.55083875099038	153	698	8	TMEM178B, NLK, GRIN2A, TUBB2A, ATP5A1, ACTB, CEMIP, PTEN	1	1
hsa-miR-216a-5p	Granule cell	1	0	153	122	0		1	1
hsa-miR-216a-5p	Inhibitory Neuron	0.595986535707699	0.516725321078977	153	504	2	GRIN2A, CEMIP	1	1
hsa-miR-216a-5p	Purkinje Cell	1	0.610931392217448	153	215	1	PPM1L	1	1
hsa-miR-216a-5p	Endothelial cell	1	0	153	47	0		1	1
hsa-miR-216a-5p	Pericyte	0.361325084860674	2.271624305623	153	59	1	PTEN	1	1
hsa-miR-216a-5p	Astrocyte	1	0.97227228622032	153	136	1	PSD3	1	1
hsa-miR-216a-5p	Cerebellar Astrocyte	0.36599281533988	1.57973918469128	153	169	2	PAX3, PSD3	1	1
hsa-miR-216a-5p	Oligodendrocyte	0.630048594112783	0	153	139	0		1	1
hsa-miR-216a-5p	Oligodendrocyte Precursor Cell	0.580003435854627	1.1628324170052	153	114	1	SEMA5A	1	1
hsa-miR-216a-5p	Cerebelllar Oligodendrocyte Precursor Cell	0.333129592919325	1.70307585753026	153	157	2	ATF7IP, BPTF	1	1
hsa-miR-216a-5p	Microglia	0.375742780798894	2.1596659263628	153	62	1	C3	1	1
hsa-miR-942-5p	Excitatory Neuron	0.0428387427112167	1.89210366228759	191	698	12	BICC1, C1orf115, ALDOA, DKK3, PDE3A, TSHZ2, DPY19L1, RALGPS2, PCDH17, FRMPD4, LSAMP, GNG2	1	1
hsa-miR-942-5p	Granule cell	0.108744380012371	2.6721144005549	191	122	3	GALNT13, NEBL, ELAVL3	1	1
hsa-miR-942-5p	Inhibitory Neuron	0.152390721834536	1.72318565336117	191	504	8	DKK3, ATP1A3, PRELID2, TSHZ2, ANK1, NEBL, PCDH17, FRMPD4	1	1
hsa-miR-942-5p	Purkinje Cell	0.0165233776918106	3.07823797498107	191	215	6	FRMPD4, LSAMP, DPF3, ATP1A3, SPATS2L, GALNT13	0.78977176690995	1
hsa-miR-942-5p	Endothelial cell	1	0	191	47	0		1	1
hsa-miR-942-5p	Pericyte	0.107002980831537	3.7109940695222	191	59	2	GPC5, LPP	1	1
hsa-miR-942-5p	Astrocyte	0.0401074576129953	3.22697471261974	191	136	4	GPC5, LSAMP, NEBL, PRKD1	1	1
hsa-miR-942-5p	Cerebellar Astrocyte	0.0222388040441026	3.25886449571914	191	169	5	LSAMP, GALNT13, PRKD1, ZSWIM5, ZNF704	0.873166801235876	1
hsa-miR-942-5p	Oligodendrocyte	0.644691515561478	0	191	139	0		1	1
hsa-miR-942-5p	Oligodendrocyte Precursor Cell	0.292314711252546	1.88354006646973	191	114	2	NLGN4X, GALNT13	1	1
hsa-miR-942-5p	Cerebelllar Oligodendrocyte Precursor Cell	0.0617433494826412	2.7811708896178	191	157	4	PCDH17, GALNT13, CBLB, PRKD1	1	1
hsa-miR-942-5p	Microglia	1	0	191	62	0		1	1
hsa-miR-182-5p	Excitatory Neuron	1	0.874330338468154	99	698	3	NRN1, MORF4L1, NPTX1	1	1
hsa-miR-182-5p	Granule cell	0.0220473779735553	5.25726855522374	99	122	3	TIAM1, ATP8A2, CPE	0.870904054412962	1
hsa-miR-182-5p	Inhibitory Neuron	0.315157481482156	1.65383076529125	99	504	4	GABRB1, ATP8A2, MTSS1, TIAM1	1	1
hsa-miR-182-5p	Purkinje Cell	0.283380651090565	1.92886657426018	99	215	2	TIAM1, PPM1L	1	1
hsa-miR-182-5p	Endothelial cell	1	0	99	47	0		1	1
hsa-miR-182-5p	Pericyte	1	0	99	59	0		1	1
hsa-miR-182-5p	Astrocyte	0.0291687045988874	4.70000562201634	99	136	3	NTM, CPE, GABRB1	0.942473977063297	1
hsa-miR-182-5p	Cerebellar Astrocyte	0.00955435450338406	5.09653270033335	99	169	4	GABRB1, CTNNA3, NTM, CPE	0.713196938113576	1
hsa-miR-182-5p	Oligodendrocyte	0.148197141656365	3.01010040044276	99	139	2	CTNNA3, PLD1	1	1
hsa-miR-182-5p	Oligodendrocyte Precursor Cell	0.107405455269862	3.68670853900974	99	114	2	NTM, MTSS1	1	1
hsa-miR-182-5p	Cerebelllar Oligodendrocyte Precursor Cell	0.179208267487643	2.65819327037742	99	157	2	CCND2, ANKRD36	1	1
hsa-miR-182-5p	Microglia	1	0	99	62	0		1	1
hsa-miR-657	Excitatory Neuron	0.575166836849021	1.2184414283229	96	698	4	GRIN2A, RNF11, DPYSL2, LAMA4	1	1
hsa-miR-657	Granule cell	1	0	96	122	0		1	1
hsa-miR-657	Inhibitory Neuron	0.51768688603927	1.26467777301508	96	504	3	GRIN2A, GPR155, SH3PXD2A	1	1
hsa-miR-657	Purkinje Cell	0.629403168950471	0	96	215	0		1	1
hsa-miR-657	Endothelial cell	1	0	96	47	0		1	1
hsa-miR-657	Pericyte	1	0	96	59	0		1	1
hsa-miR-657	Astrocyte	0.477326032649721	1.56000680744295	96	136	1	PITPNC1	1	1
hsa-miR-657	Cerebellar Astrocyte	0.553756029689385	1.25154835171537	96	169	1	PITPNC1	1	1
hsa-miR-657	Oligodendrocyte	1	0	96	139	0		1	1
hsa-miR-657	Oligodendrocyte Precursor Cell	1	0	96	114	0		1	1
hsa-miR-657	Cerebelllar Oligodendrocyte Precursor Cell	0.52733638141054	1.34862518452358	96	157	1	TMCC1	1	1
hsa-miR-657	Microglia	1	0	96	62	0		1	1
hsa-miR-654-3p	Excitatory Neuron	1	0.888437199643208	65	698	2	NUCKS1, ARL4C	1	1
hsa-miR-654-3p	Granule cell	1	0	65	122	0		1	1
hsa-miR-654-3p	Inhibitory Neuron	0.220029511610509	1.89998310944909	65	504	3	ARL4C, FOXG1, EXT1	1	1
hsa-miR-654-3p	Purkinje Cell	1	0	65	215	0		1	1
hsa-miR-654-3p	Endothelial cell	1	0	65	47	0		1	1
hsa-miR-654-3p	Pericyte	1	0	65	59	0		1	1
hsa-miR-654-3p	Astrocyte	1	0	65	136	0		1	1
hsa-miR-654-3p	Cerebellar Astrocyte	0.420685636850626	1.86063944880089	65	169	1	LRCH1	1	1
hsa-miR-654-3p	Oligodendrocyte	0.361521703880967	2.26841530915041	65	139	1	PTBP2	1	1
hsa-miR-654-3p	Oligodendrocyte Precursor Cell	1	0	65	114	0		1	1
hsa-miR-654-3p	Cerebelllar Oligodendrocyte Precursor Cell	0.0906490979925474	4.09954129775221	65	157	2	PTBP2, TFDP2	1	1
hsa-miR-654-3p	Microglia	1	0	65	62	0		1	1
hsa-miR-639	Excitatory Neuron	1	0	7	698	0		1	1
hsa-miR-639	Granule cell	1	0	7	122	0		1	1
hsa-miR-639	Inhibitory Neuron	1	0	7	504	0		1	1
hsa-miR-639	Purkinje Cell	1	0	7	215	0		1	1
hsa-miR-639	Endothelial cell	1	0	7	47	0		1	1
hsa-miR-639	Pericyte	1	0	7	59	0		1	1
hsa-miR-639	Astrocyte	1	0	7	136	0		1	1
hsa-miR-639	Cerebellar Astrocyte	1	0	7	169	0		1	1
hsa-miR-639	Oligodendrocyte	1	0	7	139	0		1	1
hsa-miR-639	Oligodendrocyte Precursor Cell	1	0	7	114	0		1	1
hsa-miR-639	Cerebelllar Oligodendrocyte Precursor Cell	1	0	7	157	0		1	1
hsa-miR-639	Microglia	1	0	7	62	0		1	1
hsa-miR-572	Excitatory Neuron	1	0	20	698	0		1	1
hsa-miR-572	Granule cell	1	0	20	122	0		1	1
hsa-miR-572	Inhibitory Neuron	1	0	20	504	0		1	1
hsa-miR-572	Purkinje Cell	1	0	20	215	0		1	1
hsa-miR-572	Endothelial cell	1	0	20	47	0		1	1
hsa-miR-572	Pericyte	1	0	20	59	0		1	1
hsa-miR-572	Astrocyte	1	0	20	136	0		1	1
hsa-miR-572	Cerebellar Astrocyte	1	0	20	169	0		1	1
hsa-miR-572	Oligodendrocyte	1	0	20	139	0		1	1
hsa-miR-572	Oligodendrocyte Precursor Cell	1	0	20	114	0		1	1
hsa-miR-572	Cerebelllar Oligodendrocyte Precursor Cell	1	0	20	157	0		1	1
hsa-miR-572	Microglia	0.059544315591946	17.3793701347146	20	62	1	ATM	1	1
hsa-miR-520h	Excitatory Neuron	0.0879834762118244	0.520585583547093	380	698	7	CHRM3, SATB2, ACTB, ST8SIA3, DMD, XKR4, RPL37A	1	1
hsa-miR-520h	Granule cell	0.500753241564159	1.31999583843006	380	122	3	RABGAP1L, KCND3, CPE	1	1
hsa-miR-520h	Inhibitory Neuron	0.740981835598225	0.839539049982089	380	504	8	CHRM3, ELAVL2, KCND3, PRICKLE2, PROX1, XKR4, FBXL7, GPR155	1	1
hsa-miR-520h	Purkinje Cell	0.801779861445481	0.73747199648661	380	215	3	XKR4, JARID2, PTPN4	1	1
hsa-miR-520h	Endothelial cell	0.220624567985102	2.32952093191957	380	47	2	B2M, ABCG2	1	1
hsa-miR-520h	Pericyte	0.304225223822828	1.83812010094573	380	59	2	PARD3, B2M	1	1
hsa-miR-520h	Astrocyte	0.744165366554713	1.18021951607001	380	136	3	FBXL7, CPE, PARD3	1	1
hsa-miR-520h	Cerebellar Astrocyte	1	0.944028010392605	380	169	3	PIK3C2A, PARD3, CPE	1	1
hsa-miR-520h	Oligodendrocyte	0.33610234141302	1.55422597198894	380	139	4	PLEKHH1, PRUNE2, HIP1, FBXL7	1	1
hsa-miR-520h	Oligodendrocyte Precursor Cell	1	0.932873423319521	380	114	2	HIP1, XKR4	1	1
hsa-miR-520h	Cerebelllar Oligodendrocyte Precursor Cell	0.770964482833013	1.01820900039563	380	157	3	PARD3, ATF7IP, AKT3	1	1
hsa-miR-520h	Microglia	0.633214548731325	0	380	62	0		1	1
hsa-miR-520b	Excitatory Neuron	0.100293153430444	0.554816111477621	408	698	8	SATB2, MAP1B, SERINC1, DPYSL2, BLCAP, HIVEP2, COX6C, SORCS2	1	1
hsa-miR-520b	Granule cell	0.738975350125954	1.22699939299102	408	122	3	ABLIM1, RABGAP1L, KCND3	1	1
hsa-miR-520b	Inhibitory Neuron	0.419681104014572	0.679084567107976	408	504	7	ELAVL2, KCND3, NR2F2, EGFR, FBXL7, NFIB, GPR155	1	1
hsa-miR-520b	Purkinje Cell	0.137515343214312	0.225215889366315	408	215	1	NFIB	1	1
hsa-miR-520b	Endothelial cell	0.616439801348294	1.05680736766835	408	47	1	IGF1R	1	1
hsa-miR-520b	Pericyte	1	0.837632570456665	408	59	1	PARD3	1	1
hsa-miR-520b	Astrocyte	0.202836136614456	1.86574770489002	408	136	5	FBXL7, PARD3, ABLIM1, PSD3, NFIB	1	1
hsa-miR-520b	Cerebellar Astrocyte	0.778938077327889	0.580052955392588	408	169	2	PSD3, PARD3	1	1
hsa-miR-520b	Oligodendrocyte	0.760203846008003	1.07268569415467	408	139	3	HIP1, MYO1D, FBXL7	1	1
hsa-miR-520b	Oligodendrocyte Precursor Cell	1	0.867308474389937	408	114	2	KIF13A, HIP1	1	1
hsa-miR-520b	Cerebelllar Oligodendrocyte Precursor Cell	0.561946662306977	1.27339035479141	408	157	4	CADM2, IGF1R, PARD3, NFIB	1	1
hsa-miR-520b	Microglia	1	0.796318228061329	408	62	1	MBNL1	1	1
hsa-miR-520a-3p	Excitatory Neuron	0.128039859334951	0.557662418900431	406	698	8	SATB2, MAP1B, SERINC1, DPYSL2, BLCAP, HIVEP2, COX6C, SORCS2	1	1
hsa-miR-520a-3p	Granule cell	0.738374832366907	1.2332134309812	406	122	3	ABLIM1, RABGAP1L, KCND3	1	1
hsa-miR-520a-3p	Inhibitory Neuron	0.256486359225107	0.582387592960715	406	504	6	ELAVL2, KCND3, NR2F2, FBXL7, NFIB, GPR155	1	1
hsa-miR-520a-3p	Purkinje Cell	0.137161873362178	0.226351312081309	406	215	1	NFIB	1	1
hsa-miR-520a-3p	Endothelial cell	0.614615360105851	1.06206949673696	406	47	1	IGF1R	1	1
hsa-miR-520a-3p	Pericyte	1	0.84185400596635	406	59	1	PARD3	1	1
hsa-miR-520a-3p	Astrocyte	0.201662201837513	1.87523372335157	406	136	5	FBXL7, PARD3, ABLIM1, PSD3, NFIB	1	1
hsa-miR-520a-3p	Cerebellar Astrocyte	0.778488370448293	0.582983728727276	406	169	2	PSD3, PARD3	1	1
hsa-miR-520a-3p	Oligodendrocyte	0.759237079530856	1.07812354750298	406	139	3	HIP1, MYO1D, FBXL7	1	1
hsa-miR-520a-3p	Oligodendrocyte Precursor Cell	1	0.871690306420353	406	114	2	KIF13A, HIP1	1	1
hsa-miR-520a-3p	Cerebelllar Oligodendrocyte Precursor Cell	0.560518550708143	1.27985530873089	406	157	4	CADM2, IGF1R, PARD3, NFIB	1	1
hsa-miR-520a-3p	Microglia	1	0.800331473364775	406	62	1	MBNL1	1	1
hsa-miR-519e-3p	Excitatory Neuron	0.247801285779542	1.79028675035771	50	698	3	THY1, PRKAR1A, RORA	1	1
hsa-miR-519e-3p	Granule cell	1	0	50	122	0		1	1
hsa-miR-519e-3p	Inhibitory Neuron	0.354813877046082	1.63398234380909	50	504	2	APLP2, RORA	1	1
hsa-miR-519e-3p	Purkinje Cell	0.0988196576930961	3.90714532080849	50	215	2	RORA, ADAM22	1	1
hsa-miR-519e-3p	Endothelial cell	0.109870749865333	8.93400616532654	50	47	1	FLT1	1	1
hsa-miR-519e-3p	Pericyte	0.135970449291322	7.0822524081551	50	59	1	RORA	1	1
hsa-miR-519e-3p	Astrocyte	0.286468764527619	3.03122370028861	50	136	1	RORA	1	1
hsa-miR-519e-3p	Cerebellar Astrocyte	0.342804780364209	2.43193967354092	50	169	1	RORA	1	1
hsa-miR-519e-3p	Oligodendrocyte	1	0	50	139	0		1	1
hsa-miR-519e-3p	Oligodendrocyte Precursor Cell	1	0	50	114	0		1	1
hsa-miR-519e-3p	Cerebelllar Oligodendrocyte Precursor Cell	1	0	50	157	0		1	1
hsa-miR-519e-3p	Microglia	1	0	50	62	0		1	1
hsa-miR-519d-3p	Excitatory Neuron	0.751280987422839	1.04953397107541	693	698	25	ATP2B1, PRKCB, EIF4A2, THY1, EPHA4, REEP5, SSX2IP, GNAS, UBC, SERINC1, PRKAR1A, TRIM37, MORF4L1, KCNB1, MAPK1, RORA, PTEN, HSPA8, YWHAZ, PEA15, PGM2L1, SORCS2, LUZP2, ARAP2, RPS27A	1	1
hsa-miR-519d-3p	Granule cell	0.447694986084068	0.468560567920064	693	122	2	RABGAP1L, KCND3	1	1
hsa-miR-519d-3p	Inhibitory Neuron	1	0.984178103076079	693	504	17	TIMP2, NRIP3, ELAVL2, GNAS, KCND3, PGM2L1, TCF4, CIT, NETO2, MCC, PRKCB, FBXL7, LUZP2, NFIB, GPR155, RORA, AAK1	1	1
hsa-miR-519d-3p	Purkinje Cell	0.56787249785137	0.669165752336482	693	215	5	RORA, NFIB, PTPN4, IQSEC1, NIN	1	1
hsa-miR-519d-3p	Endothelial cell	0.411206061132332	0	693	47	0		1	1
hsa-miR-519d-3p	Pericyte	0.456487824482303	1.51313334847443	693	59	3	PARD3, RORA, PTEN	1	1
hsa-miR-519d-3p	Astrocyte	1	0.853855831851352	693	136	4	FBXL7, RORA, PARD3, NFIB	1	1
hsa-miR-519d-3p	Cerebellar Astrocyte	1	0.858892621886769	693	169	5	RORA, MCC, PARD3, GABBR1, RPS6KA5	1	1
hsa-miR-519d-3p	Oligodendrocyte	0.00836502823806051	2.44661487024647	693	139	11	CERCAM, PIP4K2A, SCD, PXK, HIP1, MAP7, FMNL2, ARAP2, MYO1D, FBXL7, ZDHHC20	0.701174563370518	1
hsa-miR-519d-3p	Oligodendrocyte Precursor Cell	1	0.761268461472587	693	114	3	LUZP2, HIP1, PEAK1	1	1
hsa-miR-519d-3p	Cerebelllar Oligodendrocyte Precursor Cell	0.502579742912255	1.31943332062985	693	157	7	CADM2, TCF4, PARD3, AKT3, NFIB, BBX, UBR5	1	1
hsa-miR-519d-3p	Microglia	0.277409675054327	0	693	62	0		1	1
hsa-miR-519b-3p	Excitatory Neuron	0.164892031173359	1.5008429206778	257	698	13	SATB2, EPHA4, MAP1B, UBC, TMEM30A, TRIM37, KCNB1, MAPK1, BLCAP, HIVEP2, HSPA8, COX6C, RPS27A	1	1
hsa-miR-519b-3p	Granule cell	0.411832133993028	0	257	122	0		1	1
hsa-miR-519b-3p	Inhibitory Neuron	0.688636250048842	1.09773760575524	257	504	7	ADARB2, ELAVL2, NR2F2, NETO2, MCC, NFIB, TMTC1	1	1
hsa-miR-519b-3p	Purkinje Cell	0.354979850940247	1.48137777889455	257	215	4	ADARB2, NFIB, PTPN4, NIN	1	1
hsa-miR-519b-3p	Endothelial cell	1	0	257	47	0		1	1
hsa-miR-519b-3p	Pericyte	1	0	257	59	0		1	1
hsa-miR-519b-3p	Astrocyte	0.692093303723815	1.16170992453442	257	136	2	PSD3, NFIB	1	1
hsa-miR-519b-3p	Cerebellar Astrocyte	0.477486798259624	1.40986760602712	257	169	3	MCC, PSD3, RPS6KA5	1	1
hsa-miR-519b-3p	Oligodendrocyte	0.101243731198425	2.32416916761629	257	139	4	CERCAM, PXK, MAP7, ZDHHC20	1	1
hsa-miR-519b-3p	Oligodendrocyte Precursor Cell	0.657889270534894	1.39140413847304	257	114	2	KIF13A, ADARB2	1	1
hsa-miR-519b-3p	Cerebelllar Oligodendrocyte Precursor Cell	1	1.00326373772376	257	157	2	NFIB, BBX	1	1
hsa-miR-519b-3p	Microglia	1	0	257	62	0		1	1
hsa-miR-515-3p	Excitatory Neuron	0.0985047161911699	2.3904102545916	51	698	4	PTPRT, THY1, PRKAR1A, RORA	1	1
hsa-miR-515-3p	Granule cell	1	0	51	122	0		1	1
hsa-miR-515-3p	Inhibitory Neuron	0.133711243847765	2.45566785344523	51	504	3	APLP2, PTPRT, RORA	1	1
hsa-miR-515-3p	Purkinje Cell	0.102161817774996	3.82726805840757	51	215	2	RORA, ADAM22	1	1
hsa-miR-515-3p	Endothelial cell	0.111942971112365	8.75442001727002	51	47	1	FLT1	1	1
hsa-miR-515-3p	Pericyte	0.138495474973219	6.94075598645799	51	59	1	RORA	1	1
hsa-miR-515-3p	Astrocyte	0.291275354652155	2.97046107730984	51	136	1	RORA	1	1
hsa-miR-515-3p	Cerebellar Astrocyte	0.348306092569789	2.3830272540652	51	169	1	RORA	1	1
hsa-miR-515-3p	Oligodendrocyte	1	0	51	139	0		1	1
hsa-miR-515-3p	Oligodendrocyte Precursor Cell	1	0	51	114	0		1	1
hsa-miR-515-3p	Cerebelllar Oligodendrocyte Precursor Cell	1	0	51	157	0		1	1
hsa-miR-515-3p	Microglia	1	0	51	62	0		1	1
hsa-miR-423-3p	Excitatory Neuron	1	0	25	698	0		1	1
hsa-miR-423-3p	Granule cell	1	0	25	122	0		1	1
hsa-miR-423-3p	Inhibitory Neuron	1	0	25	504	0		1	1
hsa-miR-423-3p	Purkinje Cell	1	0	25	215	0		1	1
hsa-miR-423-3p	Endothelial cell	1	0	25	47	0		1	1
hsa-miR-423-3p	Pericyte	1	0	25	59	0		1	1
hsa-miR-423-3p	Astrocyte	1	0	25	136	0		1	1
hsa-miR-423-3p	Cerebellar Astrocyte	1	0	25	169	0		1	1
hsa-miR-423-3p	Oligodendrocyte	1	0	25	139	0		1	1
hsa-miR-423-3p	Oligodendrocyte Precursor Cell	1	0	25	114	0		1	1
hsa-miR-423-3p	Cerebelllar Oligodendrocyte Precursor Cell	0.177004539421777	5.35699668497799	25	157	1	SETD5	1	1
hsa-miR-423-3p	Microglia	0.073876738038556	13.7613997921752	25	62	1	SFMBT2	1	1
hsa-miR-363-3p	Excitatory Neuron	0.615852507229214	1.16467033683612	276	698	11	GULP1, FMN1, MOAP1, NUCKS1, GAP43, CDK5R1, FBXW7, TPPP, BCL11B, ITGB8, RPL23	1	1
hsa-miR-363-3p	Granule cell	0.418670203641286	0	276	122	0		1	1
hsa-miR-363-3p	Inhibitory Neuron	0.694361337587456	0.719676385954681	276	504	5	REV3L, BCL11B, CDC5L, GULP1, FMN1	1	1
hsa-miR-363-3p	Purkinje Cell	1	0.676820628755084	276	215	2	SPATS2L, CPEB4	1	1
hsa-miR-363-3p	Endothelial cell	1	0	276	47	0		1	1
hsa-miR-363-3p	Pericyte	0.555716657528521	1.24794468463003	276	59	1	SASH1	1	1
hsa-miR-363-3p	Astrocyte	0.437183979659257	1.63837226685604	276	136	3	ZNRF3, SASH1, BAZ2B	1	1
hsa-miR-363-3p	Cerebellar Astrocyte	0.732544594143134	0.428466126793518	276	169	1	BAZ2B	1	1
hsa-miR-363-3p	Oligodendrocyte	1	0.522409917357601	276	139	1	BAZ2B	1	1
hsa-miR-363-3p	Oligodendrocyte Precursor Cell	1	0.63878832838853	276	114	1	REV3L	1	1
hsa-miR-363-3p	Cerebelllar Oligodendrocyte Precursor Cell	0.16737874734028	1.90400699322532	276	157	4	ATF7IP, KIAA1958, REV3L, BPTF	1	1
hsa-miR-363-3p	Microglia	1	0	276	62	0		1	1
hsa-miR-345-5p	Excitatory Neuron	1	0.777346622410879	37	698	1	SERINC3	1	1
hsa-miR-345-5p	Granule cell	1	0	37	122	0		1	1
